word,field,value,trace_status,selected_source,note
a,phonetic,/ə/,confirmed,curated_homograph_override,curated
a,pos,adj.,confirmed,curated_function_words,
a,meaning_cn,一个；某个,confirmed,curated_override,
a,level,1,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=junior;paper_hits=30;ECDICT_rank_input=snapshotted
a,gaokao_frequency,high,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=30;scope=historical_partial_2010_2022
a,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
a,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
a.m.,phonetic,/ˌeɪˈɛm/,confirmed,ipa-dict(en_US/CMUdict),corroborated
a.m.,pos,adj./adv.,confirmed,WordNet,
a.m.,meaning_cn,上午；午前,confirmed,ECDICT,
a.m.,level,4,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=required;paper_hits=0;ECDICT_rank_input=snapshotted
a.m.,gaokao_frequency,low,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=0;scope=historical_partial_2010_2022
a.m.,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
a.m.,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
abandon,phonetic,/əˈbændən/,confirmed,ipa-dict(en_US/CMUdict),corroborated
abandon,pos,n./v.,confirmed,ECDICT,
abandon,meaning_cn,抛弃；舍弃,confirmed,teacher_pdf_gloss,
abandon,level,2,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=selective_required;paper_hits=5;ECDICT_rank_input=snapshotted
abandon,gaokao_frequency,high,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=5;scope=historical_partial_2010_2022
abandon,word_family,,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
abandon,tags,action,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
ability,phonetic,/əˈbɪləˌti/,confirmed,ipa-dict(en_US/CMUdict),corroborated
ability,pos,n.,confirmed,ECDICT,
ability,meaning_cn,能力；才能,confirmed,teacher_pdf_gloss,
ability,level,2,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=junior;paper_hits=7;ECDICT_rank_input=snapshotted
ability,gaokao_frequency,high,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=7;scope=historical_partial_2010_2022
ability,word_family,disability,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
ability,tags,description,partial,curio_pipeline_keyword_or_pos_fallback_policy,not_ECDICT_tag;no_original_row_level_source_column;policy_reproduced=true
able,phonetic,/ˈeɪbəl/,confirmed,ipa-dict(en_US/CMUdict),corroborated
able,pos,adj.,confirmed,ECDICT,
able,meaning_cn,能够；有能力的,confirmed,teacher_pdf_gloss,
able,level,1,confirmed,curio_pipeline_rank_and_fixed_quotas,official_level=junior;paper_hits=19;ECDICT_rank_input=snapshotted
able,gaokao_frequency,high,confirmed,GAOKAO-Bench_30_papers_2010_2022,paper_hits=19;scope=historical_partial_2010_2022
able,word_family,unable,partial,curio_pipeline_conservative_surface_affix_policy,no_original_row_level_source_column;reproduced_from_fixed_policy_and_headword_set
