word,phonetic,pos,meaning_cn,level,gaokao_frequency,word_family,tags
a,/ə/,adj.,一个；某个,1,high,,description
a.m.,/ˌeɪˈɛm/,adj./adv.,上午；午前,4,low,,action
abandon,/əˈbændən/,n./v.,抛弃；舍弃,2,high,,action
ability,/əˈbɪləˌti/,n.,能力；才能,2,high,disability,description
able,/ˈeɪbəl/,adj.,能够；有能力的,1,high,unable,description
abnormal,/æbˈnɔrməl/,n./adj.,反常的；变态的,4,low,,description
aboard,/əˈbɔrd/,adv./prep.,在船；车,4,low,,action
abolish,/əˈbɑlɪʃ/,v.,废除；废止,4,low,,action
abortion,/əˈbɔrʃən/,n.,人工流产；堕胎,4,low,,description
about,/əˈbaʊt/,prep.,大约；到处,1,high,,description
above,/əˈbəv/,prep.,在；上面,1,high,,description
abroad,/əˈbrɔd/,adj./adv.,到国外,3,medium,,action
absence,/ˈæbsəns/,n.,不在；缺席,3,medium,,description
absent,/ˈæbsənt/,v./adj.,缺席的；不在的,4,low,,action
absolute,/ˈæbsəˌlut/,n./adj.,绝对的；完全的,3,low,absolutely,description
absolutely,/ˌæbsəˈlutli/,adv.,完全地；绝对地,2,medium,absolute,action
absorb,/əbˈzɔrb/,v.,吸收；使全神贯注,2,medium,,action
abstract,/ˈæbˌstrækt/,n./v./adj.,抽象的；摘要,4,low,,action
abuse,/əbˈjus/,n./v.,滥用；虐待,4,low,,action
academic,/ˌækəˈdɛmɪk/,n./adj.,学院的；学术的,3,medium,,description
academy,/əˈkædəmi/,n.,学会；研究院,3,medium,,science
accent,/ˈækˌsɛnt/,n./v.,口音；音调,4,low,,action
accept,/ækˈsɛpt/,v.,接受,1,high,,action
access,/ˈækˌsɛs/,n./v.,使用权；访问,3,medium,,action
accessible,/ækˈsɛsəbəl/,adj.,可到达的；可接受的,3,medium,,description
accident,/ˈæksədənt/,n.,事故；意外的事,2,high,,description
accommodation,/əˌkɑməˈdeɪʃən/,n.,住宿；膳宿,3,low,,description
accompany,/əˈkəmpəni/,v.,陪同；陪伴,3,medium,,action
accomplish,/əˈkɑmplɪʃ/,v.,完成；实现,3,medium,,action
account,/əˈkaʊnt/,n./v.,帐目；描述,2,high,,action
accountant,/əˈkaʊntənt/,n.,会计；会计师,4,low,,description
accuracy,/ˈækjɝəsi/,n.,准确；精确,3,medium,,description
accurate,/ˈækjɝət/,adj.,正确的；精确的,3,low,,description
accuse,/əkˈjuz/,v.,控告；谴责,4,low,,action
ache,/ˈeɪk/,n./v.,痛；疼痛,4,low,,action
achieve,/əˈtʃiv/,v.,达到；取得,2,high,achievement,action
achievement,/əˈtʃivmənt/,n.,成就；成绩,3,medium,achieve,description
acid,/ˈæsəd/,n./adj.,酸的,4,low,,description
acknowledge,/ækˈnɑlɪdʒ/,v.,承认,3,medium,,action
acquire,/əˈkwaɪɝ/,v.,获得；得到,3,low,,action
acquisition,/ˌækwəˈzɪʃən/,n.,获得；得到,4,low,,description
acre,/ˈeɪkɝ/,n.,英亩,3,medium,,description
across,/əˈkrɔs/,prep.,横过；到另一边,1,high,,description
act,/ˈækt/,n./v.,行动；行为,1,high,,action
action,/ˈækʃən/,n./v.,行动,1,high,,action
active,/ˈæktɪv/,n./adj.,积极的；主动的,2,high,,description
activity,/ækˈtɪvəti/,n.,活动,1,high,,description
actor,/ˈæktɝ/,n.,男演员,2,high,,description
actress,/ˈæktrəs/,n.,女演员,4,low,,description
actual,/ˈækʃəl/,adj.,实际的；现实的,2,high,actually,description
actually,/ˈækˌtʃuəli/,adv.,事实上；竟然,1,high,actual,action
acute,/əkˈjut/,adj.,十分严重的；急性的,4,low,,description
ad,/ˈæd/,n.,广告,3,medium,,description
adapt,/əˈdæpt/,v.,使适应；适合,3,low,,action
adaptation,/ˌædəpˈteɪʃən/,n.,适应；改编本,3,medium,,description
add,/ˈæd/,v.,添加；增加,1,high,,action
addict,/ˈæˌdɪkt/,n./v.,使沉溺；使上瘾,4,low,,action
addition,/əˈdɪʃən/,n.,增加；加,2,high,,description
address,/ˈæˌdrɛs/,n./v.,地址；写姓名,2,medium,,action
adequate,/ˈædəˌkweɪt/,adj.,合适的；合乎需要的,4,low,,description
adjust,/əˈdʒəst/,v.,调整；调节,3,low,adjustment,action
adjustment,/əˈdʒəstmənt/,n.,调整；适应,4,low,adjust,description
administration,/ædˌmɪnɪˈstreɪʃən/,n.,管理；行政部门,3,medium,,description
admire,/ædˈmaɪr/,v.,钦佩；羡慕,2,medium,,action
admission,/ædˈmɪʃən/,n.,准入；接纳,2,high,,description
admit,/ədˈmɪt/,v.,承认；准许,2,high,,action
adolescent,/ˌædəˈlɛsənt/,n./adj.,青春期的；青少年,3,medium,,description
adopt,/əˈdɑpt/,v.,采用；收养,3,medium,,action
adorable,/əˈdɔrəbəl/,adj.,可崇拜的；值得敬慕的,4,low,,description
adult,/ˈædəlt/,n./adj.,成年人,2,high,,description
advance,/ədˈvæns/,n./v./adj.,前进；推进,2,high,,action
advantage,/ædˈvæntɪdʒ/,n./v.,优点；好处,2,high,disadvantage,action
adventure,/ædˈvɛntʃɝ/,n./v.,冒险；奇遇,2,high,,action
advertise,/ˈædvɝˌtaɪz/,v.,为；做广告,2,medium,advertisement,action
advertisement,/ˌædvɝˈtaɪzmənt/,n.,广告,3,medium,advertise,description
advice,/ædˈvaɪs/,n.,忠告；劝告,2,high,,description
advise,/ædˈvaɪz/,v.,忠告；劝告,2,high,,action
advocate,/ˈædvəˌkeɪt/,n./v.,提倡；拥护,1,low,,"social,action"
affair,/əˈfɛr/,n.,事；事情,3,medium,,description
affect,/əˈfɛkt/,n./v.,影响,2,medium,,social
affection,/əˈfɛkʃən/,n.,喜爱；钟爱,3,medium,,emotion
afford,/əˈfɔrd/,v.,买得起；足以,2,high,,action
afraid,/əˈfreɪd/,adj.,害怕的；担心的,2,medium,,emotion
africa,/ˈæfɝkə/,n.,非洲,2,high,,description
african,/ˈæfrəkən/,n./adj.,非洲的；非洲人的,3,medium,,description
after,/ˈæftɝ/,prep.,在；之后,1,high,,description
afternoon,/ˌæftɝˈnun/,n.,下午；午后,1,high,,description
afterward,/ˈæftɝwɝd/,adv.,然后；后来,3,medium,,action
again,/əˈɡeɪn/,adv.,再一次；再,1,high,,action
against,/əˈɡeɪnst/,prep.,反对；违背,1,high,,description
age,/ˈeɪdʒ/,n./v.,年龄；时代,1,high,,action
agency,/ˈeɪdʒənsi/,n.,代理机构,2,medium,,description
agenda,/əˈdʒɛndə/,n.,议程表；议事日程,3,low,,description
agent,/ˈeɪdʒənt/,n.,代理人；经济人,3,medium,,economy
aggression,/əˈɡrɛʃən/,n.,侵略,4,low,,description
aggressive,/əˈɡrɛsɪv/,adj.,侵略的；咄咄逼人,3,medium,,description
ago,/əˈɡoʊ/,adv.,以前,1,high,,action
agree,/əˈɡri/,v.,同意；应允,1,high,"disagree,agreement",action
agreement,/əˈɡrimənt/,n.,同意；一致,3,medium,agree,description
agricultural,/ˌæɡrəˈkəltʃɝəl/,adj.,农业的,4,low,,description
agriculture,/ˈæɡrɪˌkəltʃɝ/,n.,农业；农学,3,medium,,description
ahead,/əˈhɛd/,adj./adv.,在前；向前,2,high,,action
aid,/ˈeɪd/,n./v.,援助；辅助器具,2,high,,action
aids,/ˈeɪdz/,n.,艾滋病,4,low,,description
aim,/ˈeɪm/,n./v.,目的；目标,2,high,,action
air,/ˈɛr/,n./v.,空气；大气,1,high,,action
aircraft,/ˈɛrˌkræft/,n.,飞机,3,low,,description
airline,/ˈɛrˌlaɪn/,n.,航线；航线的设备,3,medium,,description
airplane,/ˈɛrˌpleɪn/,n.,飞机,4,low,,description
airport,/ˈɛrˌpɔrt/,n.,航空站；飞机场,3,medium,,description
alarm,/əˈlɑrm/,n./v.,警报；闹钟,3,medium,,action
album,/ˈælbəm/,n.,相册；影集,3,medium,,description
alcohol,/ˈælkəˌhɑl/,n.,含酒精饮料；酒,3,low,,description
alike,/əˈlaɪk/,adj./adv.,很相似地；同样地,2,medium,,action
alive,/əˈlaɪv/,adj.,活着的；存在的,3,medium,,description
all,/ˈɔl/,pron.,所有的；全部的,1,high,,description
alley,/ˈæli/,n.,小巷；胡同,4,low,,description
allocate,/ˈæləˌkeɪt/,v.,拨给；划归,4,low,,action
allow,/əˈlaʊ/,v.,允许；准许,1,high,,action
allowance,/əˈlaʊəns/,n./v.,津贴；补助,3,low,,action
almost,/ˈɔlˌmoʊst/,adv.,几乎；差不多,1,high,,action
alone,/əˈloʊn/,adj./adv.,单独的；孤独的,2,high,,action
along,/əˈlɔŋ/,prep.,向前；和,1,high,,description
alongside,/əˈlɔŋˈsaɪd/,adv./prep.,在；旁边,3,medium,,action
aloud,/əˈlaʊd/,adv.,大声地,3,medium,,action
already,/ɔˈrɛdi/,adv.,已经,1,high,,action
also,/ˈɔlsoʊ/,adv.,也,1,high,,action
alternative,/ɔlˈtɝnətɪv/,n./adj.,选择；替代物,3,low,,description
although,/ˌɔlˈðoʊ/,conj.,虽然；尽管,1,high,,description
altogether,/ˌɔltəˈɡɛðɝ/,adv.,总共,3,medium,,action
always,/ˈɔlˌweɪz/,adv.,总是；一直,1,high,,action
am,/ˈæm/,v.,的人称形式之一,1,high,,action
amateur,/ˈæməˌtɝ/,n.,业余爱好者；业余的,4,low,,description
amazing,/əˈmeɪzɪŋ/,adj.,惊奇；惊叹的,2,medium,,description
ambassador,/æmˈbæsədɝ/,n.,大使,4,low,,description
ambiguous,/æmˈbɪɡjuəs/,adj.,模糊的；歧义的,1,low,,reasoning
ambition,/æmˈbɪʃən/,n.,目标；野心,4,low,,description
ambitious,/æmˈbɪʃəs/,adj.,有野心的；抱负不凡的,3,medium,,description
ambulance,/ˈæmbjələns/,n.,救护车,4,low,,description
america,/əˈmɛrəkə/,n.,美国；美洲,2,high,,description
american,/əˈmɛrəkən/,n./adj.,美国的；美国人的,1,high,,description
among,/əˈməŋ/,prep.,在；中间,1,high,,description
amount,/əˈmaʊnt/,n./v.,金额；数量,1,high,,action
amuse,/əmˈjuz/,v.,快乐；逗乐,3,medium,,emotion
an,/ən/,adj.,一个；某个,1,high,,description
analysis,/əˈnæləsəs/,n.,分析；分析结果,3,low,,reasoning
analyze,/ˈænəˌlaɪz/,v.,分析,2,high,,reasoning
ancestor,/ˈænˌsɛstɝ/,n.,祖宗；祖先,4,low,,description
ancient,/ˈeɪnʃənt/,adj.,古代的；古老的,2,high,,description
and,/ˈænd/,conj.,和；又,1,high,,description
anger,/ˈæŋɡɝ/,n./v.,怒；愤怒,2,high,,emotion
angle,/ˈæŋɡəl/,n./v.,角度,3,low,,action
angry,/ˈæŋɡri/,adj.,生气的；愤怒的,3,medium,,emotion
animal,/ˈænəməl/,n.,动物,1,high,,nature
ankle,/ˈæŋkəl/,n.,踝；踝关节,4,low,,description
anniversary,/ˌænəˈvɝsɝi/,n.,周年纪念日,3,medium,,description
announce,/əˈnaʊns/,v.,宣布；宣告,2,high,announcement,action
announcement,/əˈnaʊnsmənt/,n.,通告；通知,3,medium,announce,description
annoy,/əˈnɔɪ/,v.,烦恼,1,high,,action
annual,/ˈænjuəl/,n./adj.,每年的；年刊,2,high,,description
another,/əˈnəðɝ/,pron.,再一；另一,1,high,,description
answer,/ˈænsɝ/,n./v.,答案；回答,2,high,,action
ant,/ˈænt/,n.,蚂蚁,4,low,,description
