relation_id,headword,related_word,current_state,ecdict_candidate,decision,bidirectional,replacement_headword,replacement_related_word,headword_pos_after,headword_meaning_after,related_pos_after,related_meaning_after,rationale,evidence_basis,reviewer,review_date,review_status
WFMR-001,apart,apartment,existing_relation,apartment,DELETE_RELATION,true,,,,,,,现代语义不是适合高中词卡展示的透明派生关系；保留会暗示 apartment 可由 apart 直接推义,Curio current POS and meaning plus ECDICT candidate used only as comparison,Codex,2026-08-13,approved_for_implementation
WFMR-002,bare,barely,existing_relation,barely,DELETE_RELATION,true,,,,,,,barely 已语义化为“几乎不”；与 bare“赤裸的/空的”直接并列会误导,Curio current POS and meaning plus modern semantic continuity review,Codex,2026-08-13,approved_for_implementation
WFMR-003,base,basement,existing_relation,basement,DELETE_RELATION,true,,,,,,,二者有关联但不是当前产品无类型词族字段中足够透明的词形关系,Curio current POS and meaning plus learner-facing transparency rule,Codex,2026-08-13,approved_for_implementation
WFMR-004,count,discount,existing_relation,discount,DELETE_RELATION,true,,,,,,,discount 不能按 dis 加 count 的现代词义组合解释；表面包含不构成词族,Curio current POS and meaning plus learner-facing transparency rule,Codex,2026-08-13,approved_for_implementation
WFMR-005,cover,discover,existing_relation,discover,DELETE_RELATION,true,,,,,,,discover 的现代词义不是 cover 的透明派生或简单反义,Curio current POS and meaning plus modern semantic continuity review,Codex,2026-08-13,approved_for_implementation
WFMR-006,disease,ease,existing_relation,ease,DELETE_RELATION,true,,,,,,,历史构词关联不能替代现代英语中的透明词族关系,Curio current POS and meaning plus modern semantic continuity review,Codex,2026-08-13,approved_for_implementation
WFMR-007,dismiss,miss,existing_relation,miss,DELETE_RELATION,true,,,,,,,拼写包含但现代语义和构词均不透明,Curio current POS and meaning plus learner-facing transparency rule,Codex,2026-08-13,approved_for_implementation
WFMR-008,display,play,existing_relation,play,DELETE_RELATION,true,,,,,,,拼写包含但不是适合直接教学的现代词族,Curio current POS and meaning plus learner-facing transparency rule,Codex,2026-08-13,approved_for_implementation
WFMR-009,hard,hardly,existing_relation,hardly,DELETE_RELATION,true,,,,,,,hardly 表示“几乎不”；作为 hard 的普通副词派生展示会造成高风险误解,Curio current POS and meaning plus modern semantic continuity review,Codex,2026-08-13,approved_for_implementation
WFMR-010,late,lately,existing_relation,lately,DELETE_RELATION,true,,,,,,,lately 表示“最近”；不是 late“迟/晚”的透明副词形式,Curio current POS and meaning plus modern semantic continuity review,Codex,2026-08-13,approved_for_implementation
WFMR-011,less,unless,existing_relation,unless,DELETE_RELATION,true,,,,,,,拼写包含但词性和现代语义均不构成透明词族,Curio current POS and meaning plus learner-facing transparency rule,Codex,2026-08-13,approved_for_implementation
WFMR-012,like,likely,existing_relation,likely,DELETE_RELATION,true,,,,,,,likely“很可能”不能从当前 like“像/跟”的义项透明推导,Curio current POS and meaning plus sense-specific review,Codex,2026-08-13,approved_for_implementation
WFMR-013,like,unlike,existing_relation,unlike,KEEP_RELATION,true,,,,,,,当前释义“像/不像”构词与语义透明且词性相容,Curio current POS and meaning plus learner-facing transparency rule,Codex,2026-08-13,approved_for_implementation
WFMR-014,live,lively,existing_relation,lively,REPLACE_RELATION,true,life,lively,,,,,删除 live/lively；改为 life/lively，避免 live 的多词性与发音混淆并保留可理解的生命/生气语义联系,Curio current POS and meaning plus sense and pronunciation risk review,Codex,2026-08-13,approved_for_implementation
WFMR-015,most,mostly,existing_relation,mostly,KEEP_RELATION,true,,,,,,,most 与 mostly 的“大部分/主要地”关系对高中学习者相对透明,Curio current POS and meaning plus learner-facing transparency rule,Codex,2026-08-13,approved_for_implementation
WFMR-016,near,nearly,existing_relation,nearly,DELETE_RELATION,true,,,,,,,nearly 主要表示“几乎”；并非 near“接近/附近”的普通副词词形,Curio current POS and meaning plus modern semantic continuity review,Codex,2026-08-13,approved_for_implementation
WFMR-017,short,shortly,existing_relation,shortly,DELETE_RELATION,true,,,,,,,shortly 常表示“不久”；当前无类型字段无法表达其语义漂移,Curio current POS and meaning plus modern semantic continuity review,Codex,2026-08-13,approved_for_implementation
WFMR-018,can,could,empty_candidate,p:could,ADD_RELATION,true,,,,,,,基于情态动词“能/可以”义项；不是 can“罐头”义项,Curio current meanings plus ECDICT exchange candidate with explicit sense scope,Codex,2026-08-13,approved_for_implementation
WFMR-019,confuse,confused,empty_candidate,"d:confused,p:confused",ADD_RELATION,true,,,,,,,动词与过去分词形容词关系清晰且目标词均在 3500 词内,Curio current POS and meaning plus ECDICT exchange candidate,Codex,2026-08-13,approved_for_implementation
WFMR-020,fee,feed,empty_candidate,"p:feed,d:feed",REJECT_CANDIDATE,true,,,,,,,ECDICT exchange 在此产生错误或歧义匹配；fee 与 feed 不构成词族,Curio current POS and meaning override ECDICT exchange candidate,Codex,2026-08-13,approved_for_implementation
WFMR-021,interest,interesting,empty_candidate,i:interesting,ADD_RELATION,true,,,,,,,仅基于 interest“兴趣”义项；不基于“利息”义项,Curio current POS and meaning plus ECDICT exchange candidate with explicit sense scope,Codex,2026-08-13,approved_for_implementation
