word,pos,translation,tag,bnc,frq,exchange
a,,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",zk gk,5,5,
a.m.,,"上午, 午前",,0,0,
abandon,,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",gk cet4 cet6 ky toefl gre,2057,2182,d:abandoned/p:abandoned/i:abandoning/3:abandons
ability,,"n. 能力, 才干\n[经] 能力, 才能",zk gk cet4 ky toefl ielts,946,783,s:abilities
able,,"a. 能干的, 能够的",zk gk,295,385,
abnormal,,"a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人",gk cet4 cet6 ky toefl ielts,6548,8241,s:abnormals
aboard,,"adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上",gk cet4 ky toefl,7625,4984,
abolish,,"vt. 废止, 革除, 消灭\n[经] 废除, 取消, 裁撤",gk cet6 ky toefl ielts gre,3736,7490,d:abolished/i:abolishing/p:abolished/3:abolishes
abortion,,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产; 顿挫",gk ielts,4341,1969,s:abortions
about,,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",zk gk,63,46,
above,,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",zk gk,733,893,
abroad,,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",zk gk toefl,2243,3363,
absence,,"n. 缺席, 缺乏, 没有\n[医] 失神",gk cet4 cet6 ky toefl,1585,2524,s:absences
absent,,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",zk gk cet4 cet6 ky toefl,4300,5516,p:absented/i:absenting/d:absented/3:absents
absolute,,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物",gk cet4 cet6 ky toefl gre,2420,3165,s:absolutes
absolutely,,"adv. 完全地, 绝对地, 确确实实地",cet4 toefl,1619,1149,
absorb,,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",gk cet4 cet6 ky toefl ielts gre,2879,3120,d:absorbed/p:absorbed/3:absorbs/i:absorbing
abstract,,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象",gk cet4 cet6 ky toefl ielts gre,3729,4007,s:abstracts/d:abstracted/i:abstracting/3:abstracts/p:abstracted
abuse,,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",gk cet4 cet6 ky toefl ielts gre,2352,1540,d:abused/s:abuses/i:abusing/3:abuses/p:abused
academic,,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员",gk cet4 cet6 ky toefl ielts gre,1941,1465,s:academics
academy,,"n. 学院, 院校, 学会",gk cet4 cet6 ky toefl,4366,4895,s:academies
accent,,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",zk gk cet4 ky,3701,4140,s:accents/p:accented/i:accenting/d:accented/3:accents
accept,,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",zk gk cet4 ky,488,766,d:accepted/p:accepted/i:accepting/3:accepts
access,,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",gk cet4 cet6 ky toefl ielts gre,999,1113,d:accessed/i:accessing/3:accesses/s:accesses/p:accessed
accessible,,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",gk cet6 toefl ielts gre,4162,4377,
accident,,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",zk gk cet4 ky toefl,1187,1707,s:accidents
accommodation,,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼); 适应",gk cet4 cet6 ky ielts,2048,5369,s:accommodations
accompany,,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",gk cet4 cet6 ky toefl ielts gre,1902,2438,d:accompanied/p:accompanied/i:accompanying/3:accompanies
accomplish,,"vt. 完成, 达到, 实现, 使完美",gk cet4 ky toefl ielts gre,5546,2345,d:accomplished/p:accomplished/i:accomplishing/3:accomplishes
account,,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",gk cet4 ky toefl ielts,498,1071,s:accounts/d:accounted/i:accounting/3:accounts/p:accounted
accountant,,"n. 会计人员, 会计师\n[经] 会计师, 会计人员",gk ky toefl ielts,3280,5949,s:accountants
accuracy,,"n. 精确, 正确\n[计] 准确度",gk cet4 cet6 ky toefl ielts gre,3958,4076,s:accuracies
accurate,,"a. 正确的, 精确的\n[经] 准确的, 精确的",cet4 cet6 ky toefl ielts gre,2738,2728,
accuse,,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",gk cet4 cet6 ky toefl ielts gre,1893,2024,d:accused/p:accused/i:accusing/3:accuses
ache,,"n. 疼痛\nvi. 痛, 哀怜, 渴望",zk gk cet4 ky,8267,7717,p:ached/i:aching/d:ached/3:aches
achieve,,"vt. 完成, 达到\nvi. 如愿以偿",zk gk cet4 cet6 ky toefl ielts,592,1152,d:achieved/i:achieving/p:achieved/3:achieves
achievement,,"n. 完成, 成就, 功业",gk cet4 cet6 toefl ielts,1978,2021,s:achievements
acid,,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",gk cet4 cet6 ky toefl ielts,1597,3238,s:acids
acknowledge,,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",gk cet4 cet6 ky toefl ielts gre,2105,1654,p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging
acquire,,"vt. 获得, 学到\n[电] 目标锁定",gk cet4 cet6 ky toefl ielts,1407,2063,d:acquired/p:acquired/i:acquiring/3:acquires
acquisition,,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",gk cet4 cet6 ky toefl ielts,2567,3856,s:acquisitions
acre,,n. 英亩,gk cet4 ky toefl,3286,0,s:acres
across,,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",zk gk,448,377,
act,,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",zk gk cet4 ky,371,837,i:acting/s:acts/p:acted/d:acted/3:acts
action,,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",zk gk cet4 cet6 ky toefl ielts,340,502,s:actions/i:actioning/p:actioned/3:actions
