word,current_value,classification,candidates,reason
a,,should_not_fill,,no_current_value_or_fixed_source_candidate
a.m.,,should_not_fill,,no_current_value_or_fixed_source_candidate
abandon,,should_not_fill,,no_current_value_or_fixed_source_candidate
ability,disability,reliable_value,disability,matches_fixed_conservative_affix_policy_and_members_exist
able,unable,reliable_value,unable,matches_fixed_conservative_affix_policy_and_members_exist
abnormal,,should_not_fill,,no_current_value_or_fixed_source_candidate
aboard,,should_not_fill,,no_current_value_or_fixed_source_candidate
abolish,,should_not_fill,,no_current_value_or_fixed_source_candidate
abortion,,should_not_fill,,no_current_value_or_fixed_source_candidate
about,,should_not_fill,,no_current_value_or_fixed_source_candidate
above,,should_not_fill,,no_current_value_or_fixed_source_candidate
abroad,,should_not_fill,,no_current_value_or_fixed_source_candidate
absence,,should_not_fill,,no_current_value_or_fixed_source_candidate
absent,,should_not_fill,,no_current_value_or_fixed_source_candidate
absolute,absolutely,reliable_value,absolutely,matches_fixed_conservative_affix_policy_and_members_exist
absolutely,absolute,reliable_value,absolute,matches_fixed_conservative_affix_policy_and_members_exist
absorb,,should_not_fill,,no_current_value_or_fixed_source_candidate
abstract,,should_not_fill,,no_current_value_or_fixed_source_candidate
abuse,,should_not_fill,,no_current_value_or_fixed_source_candidate
academic,,should_not_fill,,no_current_value_or_fixed_source_candidate
academy,,should_not_fill,,no_current_value_or_fixed_source_candidate
accent,,should_not_fill,,no_current_value_or_fixed_source_candidate
accept,,should_not_fill,,no_current_value_or_fixed_source_candidate
access,,should_not_fill,,no_current_value_or_fixed_source_candidate
accessible,,should_not_fill,,no_current_value_or_fixed_source_candidate
accident,,should_not_fill,,no_current_value_or_fixed_source_candidate
accommodation,,should_not_fill,,no_current_value_or_fixed_source_candidate
accompany,,should_not_fill,,no_current_value_or_fixed_source_candidate
accomplish,,should_not_fill,,no_current_value_or_fixed_source_candidate
account,,should_not_fill,,no_current_value_or_fixed_source_candidate
accountant,,should_not_fill,,no_current_value_or_fixed_source_candidate
accuracy,,should_not_fill,,no_current_value_or_fixed_source_candidate
accurate,,should_not_fill,,no_current_value_or_fixed_source_candidate
accuse,,should_not_fill,,no_current_value_or_fixed_source_candidate
ache,,should_not_fill,,no_current_value_or_fixed_source_candidate
achieve,achievement,reliable_value,achievement,matches_fixed_conservative_affix_policy_and_members_exist
